股票代號,股票簡稱,股票類型
1236.TW,宏亞,2
1256.TW,鮮活果汁-KY,2
1702.TW,南僑,2
1737.TW,臺鹽,2
3054.TW,立萬利,2
1303.TW,南亞,3
1304.TW,台聚,3
1305.TW,華夏,3
1307.TW,三芳,3
1308.TW,亞聚,3
1309.TW,台達化,3
1310.TW,台苯,3
1312.TW,國喬,3
1313.TW,聯成,3
1314.TW,中石化,3
1315.TW,達新,3
1321.TW,大洋,3
1323.TW,永裕,3
1324.TW,地球,3
1325.TW,恆大,3
1326.TW,台化,3
1337.TW,再生-KY,3
1340.TW,勝悅-KY,3
1341.TW,富林-KY,3
4306.TW,炎洲,3
1409.TW,新纖,4
1410.TW,南染,4
1413.TW,宏洲,4
1414.TW,東和,4
1417.TW,嘉裕,4
1418.TW,東華,4
1419.TW,新紡,4
1423.TW,利華,4
1434.TW,福懋,4
1440.TW,南紡,4
1441.TW,大東,4
1444.TW,力麗,4
1445.TW,大宇,4
1446.TW,宏和,4
1447.TW,力鵬,4
1449.TW,佳和,4
1451.TW,年興,4
1452.TW,宏益,4
1454.TW,台富,4
1455.TW,集盛,4
1457.TW,宜進,4
1459.TW,聯發,4
1460.TW,宏遠,4
1463.TW,強盛新,4
1464.TW,得力,4
1465.TW,偉全,4
1466.TW,聚隆,4
1467.TW,南緯,4
1468.TW,昶和,4
1470.TW,大統新創,4
1473.TW,台南,4
1474.TW,弘裕,4
1475.TW,業旺,4
1476.TW,儒鴻,4
1477.TW,聚陽,4
4414.TW,如興,4
4426.TW,利勤,4
4438.TW,廣越,4
4439.TW,冠星-KY,4
4440.TW,宜新實業,4
1504.TW,東元,5
1506.TW,正道,5
1513.TW,中興電,5
1514.TW,亞力,5
1515.TW,力山,5
1517.TW,利奇,5
1519.TW,華城,5
1526.TW,日馳,5
1527.TW,鑽全,5
1528.TW,恩德,5
1529.TW,樂事綠能,5
1530.TW,亞崴,5
1531.TW,高林股,5
1532.TW,勤美,5
1535.TW,中宇,5
1537.TW,廣隆,5
1538.TW,正峰,5
1539.TW,巨庭,5
1540.TW,喬福,5
1541.TW,錩泰,5
1558.TW,伸興,5
1560.TW,中砂,5
1583.TW,程泰,5
1589.TW,永冠-KY,5
1590.TW,亞德客-KY,5
1597.TW,直得,5
2049.TW,上銀,5
2371.TW,大同,5
3167.TW,大量,5
4526.TW,東台,5
4532.TW,瑞智,5
4540.TW,全球傳動,5
4552.TW,力達-KY,5
4555.TW,氣立,5
4560.TW,強信-KY,5
4562.TW,穎漢,5
4564.TW,元翎,5
4566.TW,時碩工業,5
4571.TW,鈞興-KY,5
4572.TW,駐龍,5
4576.TW,大銀微系統,5
4583.TW,台灣精銳,5
5288.TW,豐祥-KY,5
6606.TW,建德工業,5
8222.TW,寶一,5
8374.TW,羅昇,5
8996.TW,高力,5
1603.TW,華電,6
1604.TW,聲寶,6
1605.TW,華新,6
1608.TW,華榮,6
1609.TW,大亞,6
1611.TW,中電,6
1612.TW,宏泰,6
1614.TW,三洋電,6
1615.TW,大山,6
1616.TW,億泰,6
1617.TW,榮星,6
1618.TW,合機,6
1626.TW,艾美特-KY,6
4930.TW,燦星網,6
5283.TW,禾聯碩,6
1802.TW,台玻,7
1806.TW,冠軍,7
1809.TW,中釉,7
1810.TW,和成,7
1817.TW,凱撒衛,7
1903.TW,士紙,8
1904.TW,正隆,8
1905.TW,華紙,8
1906.TW,寶隆,8
1907.TW,永豐餘,8
1909.TW,榮成,8
6790.TW,永豐實,8
2002.TW,中鋼,9
2006.TW,東和鋼鐵,9
2007.TW,燁興,9
2008.TW,高興昌,9
2009.TW,第一銅,9
2010.TW,春源,9
2012.TW,春雨,9
2013.TW,中鋼構,9
2014.TW,中鴻,9
2015.TW,豐興,9
2017.TW,官田鋼,9
2020.TW,美亞,9
2022.TW,聚亨,9
2023.TW,燁輝,9
2024.TW,志聯,9
2025.TW,千興,9
2027.TW,大成鋼,9
2028.TW,威致,9
2029.TW,盛餘,9
2030.TW,彰源,9
2031.TW,新光鋼,9
2032.TW,新鋼,9
2033.TW,佳大,9
2034.TW,允強,9
2038.TW,海光,9
2069.TW,運錩,9
2211.TW,長榮鋼,9
3004.TW,豐達科,9
5007.TW,三星,9
5538.TW,東明-KY,9
9958.TW,世紀鋼,9
2101.TW,南港,10
2102.TW,泰豐,10
2103.TW,台橡,10
2104.TW,國際中橡,10
2105.TW,正新,10
2106.TW,建大,10
2107.TW,厚生,10
2108.TW,南帝,10
2109.TW,華豐,10
2114.TW,鑫永銓,10
6582.TW,申豐,10
1319.TW,東陽,11
1338.TW,廣華-KY,11
1339.TW,昭輝,11
1512.TW,瑞利,11
1521.TW,大億,11
1522.TW,堤維西,11
1524.TW,耿鼎,11
1525.TW,江申,11
1533.TW,車王電,11
1536.TW,和大,11
1563.TW,巧新,11
1568.TW,倉佑,11
1587.TW,吉茂,11
2115.TW,六暉-KY,11
2201.TW,裕隆,11
2204.TW,中華,11
2206.TW,三陽工業,11
2207.TW,和泰車,11
2227.TW,裕日車,11
2228.TW,劍麟,11
2231.TW,為升,11
2233.TW,宇隆,11
2236.TW,百達-KY,11
2239.TW,英利-KY,11
2241.TW,艾姆勒,11
2243.TW,宏旭-KY,11
2247.TW,汎德永業,11
2250.TW,IKKA-KY,11
2497.TW,怡利電,11
3346.TW,麗清,11
4551.TW,智伸科,11
4557.TW,永新-KY,11
4569.TW,六方科-KY,11
4581.TW,光隆精密-KY,11
6288.TW,聯嘉,11
6605.TW,帝寶,11
7732.TW,金興精密,11
1471.TW,首利,12
1582.TW,信錦,12
2059.TW,川湖,12
2301.TW,光寶科,12
2302.TW,麗正,12
2303.TW,聯電,12
2305.TW,全友,12
2308.TW,台達電,12
2312.TW,金寶,12
2313.TW,華通,12
2314.TW,台揚,12
2316.TW,楠梓電,12
2317.TW,鴻海,12
2323.TW,中環,12
2324.TW,仁寶,12
2327.TW,國巨,12
2328.TW,廣宇,12
2329.TW,華泰,12
2330.TW,台積電,12
2331.TW,精英,12
2332.TW,友訊,12
2337.TW,旺宏,12
2338.TW,光罩,12
2340.TW,台亞,12
2342.TW,茂矽,12
2344.TW,華邦電,12
2345.TW,智邦,12
2347.TW,聯強,12
2349.TW,錸德,12
2351.TW,順德,12
2352.TW,佳世達,12
2353.TW,宏碁,12
2354.TW,鴻準,12
2355.TW,敬鵬,12
2356.TW,英業達,12
2357.TW,華碩,12
2359.TW,所羅門,12
2360.TW,致茂,12
2362.TW,藍天,12
2363.TW,矽統,12
2364.TW,倫飛,12
2365.TW,昆盈,12
2367.TW,燿華,12
2368.TW,金像電,12
2369.TW,菱生,12
2373.TW,震旦行,12
2374.TW,佳能,12
2375.TW,凱美,12
2376.TW,技嘉,12
2377.TW,微星,12
2379.TW,瑞昱,12
2382.TW,廣達,12
2383.TW,台光電,12
2385.TW,群光,12
2387.TW,精元,12
2388.TW,威盛,12
2390.TW,云辰,12
2392.TW,正崴,12
2393.TW,億光,12
2395.TW,研華,12
2397.TW,友通,12
2399.TW,映泰,12
2401.TW,凌陽,12
2402.TW,毅嘉,12
2404.TW,漢唐,12
2405.TW,輔信,12
2406.TW,國碩,12
2408.TW,南亞科,12
2409.TW,友達,12
2412.TW,中華電,12
2413.TW,環科,12
2414.TW,精技,12
2415.TW,錩新,12
2417.TW,圓剛,12
2419.TW,仲琦,12
2420.TW,新巨,12
2421.TW,建準,12
2423.TW,固緯,12
2424.TW,隴華,12
2425.TW,承啟,12
2426.TW,鼎元,12
2427.TW,三商電,12
2428.TW,興勤,12
2429.TW,銘旺科,12
2430.TW,燦坤,12
2431.TW,聯昌,12
2432.TW,倚天酷碁-創,12
2433.TW,互盛電,12
2434.TW,統懋,12
2436.TW,偉詮電,12
2438.TW,翔耀,12
2439.TW,美律,12
2440.TW,太空梭,12
2441.TW,超豐,12
2444.TW,兆勁,12
2449.TW,京元電子,12
2450.TW,神腦,12
2451.TW,創見,12
2453.TW,凌群,12
2454.TW,聯發科,12
2455.TW,全新,12
2457.TW,飛宏,12
2458.TW,義隆,12
2459.TW,敦吉,12
2460.TW,建通,12
2461.TW,光群雷,12
2462.TW,良得電,12
2464.TW,盟立,12
2465.TW,麗臺,12
2466.TW,冠西電,12
2467.TW,志聖,12
2468.TW,華經,12
2471.TW,資通,12
2472.TW,立隆電,12
2474.TW,可成,12
2476.TW,鉅祥,12
2477.TW,美隆電,12
2478.TW,大毅,12
2480.TW,敦陽科,12
2481.TW,強茂,12
2482.TW,連宇,12
2483.TW,百容,12
2484.TW,希華,12
2485.TW,兆赫,12
2486.TW,一詮,12
2488.TW,漢平,12
2489.TW,瑞軒,12
2491.TW,吉祥全,12
2492.TW,華新科,12
2493.TW,揚博,12
2495.TW,普安,12
2498.TW,宏達電,12
3002.TW,歐格,12
3003.TW,健和興,12
3005.TW,神基,12
3006.TW,晶豪科,12
3008.TW,大立光,12
3010.TW,華立,12
3011.TW,今皓,12
3013.TW,晟銘電,12
3014.TW,聯陽,12
3015.TW,全漢,12
3016.TW,嘉晶,12
3017.TW,奇鋐,12
3019.TW,亞光,12
3021.TW,鴻名,12
3022.TW,威強電,12
3023.TW,信邦,12
3024.TW,憶聲,12
3025.TW,星通,12
3026.TW,禾伸堂,12
3027.TW,盛達,12
3028.TW,增你強,12
3029.TW,零壹,12
3030.TW,德律,12
3031.TW,佰鴻,12
3032.TW,偉訓,12
3033.TW,威健,12
3034.TW,聯詠,12
3035.TW,智原,12
3036.TW,文曄,12
3037.TW,欣興,12
3038.TW,全台,12
3041.TW,揚智,12
3042.TW,晶技,12
3043.TW,科風,12
3044.TW,健鼎,12
3045.TW,台灣大,12
3046.TW,建碁,12
3047.TW,訊舟,12
3048.TW,益登,12
3049.TW,精金,12
3050.TW,鈺德,12
3051.TW,力特,12
3055.TW,蔚華科,12
3057.TW,喬鼎,12
3058.TW,立德,12
3059.TW,華晶科,12
3060.TW,銘異,12
3062.TW,建漢,12
3090.TW,日電貿,12
3092.TW,鴻碩,12
3094.TW,聯傑,12
3138.TW,耀登,12
3149.TW,正達,12
3189.TW,景碩,12
3209.TW,全科,12
3229.TW,晟鈦,12
3231.TW,緯創,12
3257.TW,虹冠電,12
3296.TW,勝德,12
3305.TW,昇貿,12
3308.TW,聯德,12
3311.TW,閎暉,12
3312.TW,弘憶股,12
3321.TW,同泰,12
3338.TW,泰碩,12
3356.TW,奇偶,12
3376.TW,新日興,12
3380.TW,明泰,12
3406.TW,玉晶光,12
3413.TW,京鼎,12
3416.TW,融程電,12
3419.TW,譁裕,12
3432.TW,台端,12
3437.TW,榮創,12
3443.TW,創意,12
3447.TW,展達,12
3450.TW,聯鈞,12
3454.TW,晶睿,12
3481.TW,群創,12
3501.TW,維熹,12
3504.TW,揚明光,12
3515.TW,華擎,12
3518.TW,柏騰,12
3528.TW,安馳,12
3530.TW,晶相光,12
3532.TW,台勝科,12
3533.TW,嘉澤,12
3535.TW,晶彩科,12
3543.TW,州巧,12
3545.TW,敦泰,12
3550.TW,聯穎,12
3563.TW,牧德,12
3576.TW,聯合再生,12
3583.TW,辛耘,12
3588.TW,通嘉,12
3591.TW,艾笛森,12
3592.TW,瑞鼎,12
3593.TW,力銘,12
3596.TW,智易,12
3605.TW,宏致,12
3607.TW,谷崧,12
3617.TW,碩天,12
3622.TW,洋華,12
3645.TW,達邁,12
3652.TW,精聯,12
3653.TW,健策,12
3661.TW,世芯-KY,12
3665.TW,貿聯-KY,12
3669.TW,圓展,12
3673.TW,TPK-KY,12
3679.TW,新至陞,12
3686.TW,達能,12
3694.TW,海華,12
3701.TW,大眾控,12
3702.TW,大聯大,12
3704.TW,合勤控,12
3706.TW,神達,12
3711.TW,日月光投控,12
3712.TW,永崴投控,12
3714.TW,富采,12
3715.TW,定穎投控,12
4545.TW,銘鈺,12
4588.TW,玖鼎電力,12
4904.TW,遠傳,12
4906.TW,正文,12
4912.TW,聯德控股-KY,12
4915.TW,致伸,12
4916.TW,事欣科,12
4919.TW,新唐,12
4927.TW,泰鼎-KY,12
4934.TW,太極,12
4935.TW,茂林-KY,12
4938.TW,和碩,12
4942.TW,嘉彰,12
4952.TW,凌通,12
4956.TW,光鋐,12
4958.TW,臻鼎-KY,12
4960.TW,誠美材,12
4961.TW,天鈺,12
4967.TW,十銓,12
4968.TW,立積,12
4976.TW,佳凌,12
4977.TW,眾達-KY,12
4989.TW,榮科,12
4994.TW,傳奇,12
4999.TW,鑫禾,12
5203.TW,訊連,12
5215.TW,科嘉-KY,12
5222.TW,全訊,12
5225.TW,東科-KY,12
5234.TW,達興材料,12
5243.TW,乙盛-KY,12
5244.TW,弘凱,12
5258.TW,虹堡,12
5269.TW,祥碩,12
5285.TW,界霖,12
5388.TW,中磊,12
5434.TW,崇越,12
5469.TW,瀚宇博,12
5471.TW,松翰,12
5484.TW,慧友,12
6108.TW,競國,12
6112.TW,邁達特,12
6115.TW,鎰勝,12
6116.TW,彩晶,12
6117.TW,迎廣,12
6120.TW,達運,12
6128.TW,上福,12
6133.TW,金橋,12
6136.TW,富爾特,12
6139.TW,亞翔,12
6141.TW,柏承,12
6142.TW,友勁,12
6152.TW,百一,12
6153.TW,嘉聯益,12
6155.TW,鈞寶,12
6164.TW,華興,12
6166.TW,凌華,12
6168.TW,宏齊,12
6176.TW,瑞儀,12
6183.TW,關貿,12
6189.TW,豐藝,12
6191.TW,精成科,12
6192.TW,巨路,12
6196.TW,帆宣,12
6197.TW,佳必琪,12
6201.TW,亞弘電,12
6202.TW,盛群,12
6205.TW,詮欣,12
6206.TW,飛捷,12
6209.TW,今國光,12
6213.TW,聯茂,12
6214.TW,精誠,12
6215.TW,和椿,12
6216.TW,居易,12
6224.TW,聚鼎,12
6226.TW,光鼎,12
6230.TW,尼得科超眾,12
6235.TW,華孚,12
6239.TW,力成,12
6243.TW,迅杰,12
6257.TW,矽格,12
6269.TW,台郡,12
6271.TW,同欣電,12
6277.TW,宏正,12
6278.TW,台表科,12
6281.TW,全國電,12
6282.TW,康舒,12
6283.TW,淳安,12
6285.TW,啟碁,12
6405.TW,悅城,12
6409.TW,旭隼,12
6412.TW,群電,12
6414.TW,樺漢,12
6415.TW,矽力*-KY,12
6416.TW,瑞祺電通,12
6426.TW,統新,12
6438.TW,迅得,12
6442.TW,光聖,12
6443.TW,元晶,12
6449.TW,鈺邦,12
6451.TW,訊芯-KY,12
6456.TW,GIS-KY,12
6477.TW,安集,12
6515.TW,穎崴,12
6525.TW,捷敏-KY,12
6526.TW,達發,12
6531.TW,愛普*,12
6533.TW,晶心科,12
6552.TW,易華電,12
6558.TW,興能高,12
6573.TW,虹揚-KY,12
6579.TW,研揚,12
6591.TW,動力-KY,12
6658.TW,聯策,12
6668.TW,中揚光,12
6669.TW,緯穎,12
6672.TW,騰輝電子-KY,12
6674.TW,鋐寶科技,12
6691.TW,洋基工程,12
6695.TW,芯鼎,12
6698.TW,旭暉應材,12
6706.TW,惠特,12
6715.TW,嘉基,12
6719.TW,力智,12
6742.TW,澤米,12
6743.TW,安普新,12
6756.TW,威鋒電子,12
6770.TW,力積電,12
6776.TW,展碁國際,12
6781.TW,AES-KY,12
6789.TW,采鈺,12
6792.TW,詠業,12
6799.TW,來頡,12
6805.TW,富世達,12
6830.TW,汎銓,12
6834.TW,天二科技,12
6835.TW,圓裕,12
6854.TW,錼創科技-KY創,12
6863.TW,永道-KY,12
6916.TW,華凌,12
6933.TW,AMAX-KY,12
6937.TW,天虹,12
8011.TW,台通,12
