Date,Close,High,Low,Open,Volume
2020/1/2,302.557312,302.557312,296.7560656,296.7560656,31754120
2020/1/3,303.0036316,307.9123797,299.433633,307.01988,41811268
2020/1/6,296.3097534,298.5410016,296.3097534,297.2022527,45343057
2020/1/7,294.0785828,297.202331,291.4010843,296.7560812,50879181
2020/1/8,294.0785828,297.202331,290.062335,290.062335,37567748
2020/1/9,301.2185974,301.2185974,297.6485992,298.9873485,31481504
2020/1/10,303.0036316,304.3423811,299.8798828,303.8961312,27032115
2020/1/13,304.7885742,305.234824,302.5573255,305.234824,30663332
2020/1/14,308.8048401,308.8048401,307.4660908,308.3585903,30223993
2020/1/15,303.4498596,307.9123576,301.2186107,307.9123576,47434274
2020/1/16,298.5410767,300.3260756,294.524829,294.524829,55211420
2020/1/17,297.2023315,299.4335803,296.309832,298.094831,52060097
2020/1/20,297.2023315,299.4335803,297.2023315,298.094831,32658203
2020/1/30,282.4761658,290.9549132,282.4761658,290.9549132,125451049
2020/1/31,285.5999146,288.7236636,284.7074148,288.2774137,62526055
2020/2/3,281.1373291,282.4760783,278.4598307,281.1373291,59560849
2020/2/4,290.0623474,300.7723418,290.0623474,300.326092,51890496
2020/2/5,292.2934875,294.0784859,289.61599,293.6322363,36601453
2020/2/6,296.7561035,296.7561035,293.6323551,294.0786048,29267094
2020/2/7,292.7398682,294.9711172,290.954869,294.5248674,28798327
2020/2/10,292.2934875,292.7397371,286.4922428,286.9384924,30632424
2020/2/11,295.8636169,296.7561165,294.5248675,294.9711173,27524935
2020/2/12,298.9873352,299.8798347,297.2023362,297.6485859,37612639
2020/2/13,298.9873352,301.6648337,298.9873352,301.6648337,22757021
2020/2/14,298.9873352,300.7723342,298.5410855,300.7723342,16933683
2020/2/17,295.8636169,297.2023663,294.9711173,295.8636169,15937079
2020/2/18,287.3847961,291.4010433,287.3847961,289.6160446,61825604
2020/2/19,291.4010925,291.8473423,287.3848447,287.8310945,38781218
2020/2/20,290.508606,293.6323544,290.0623562,292.7398549,27011736
2020/2/21,290.0623474,291.4010967,288.2773484,290.5085972,22813534
2020/2/24,285.5999146,286.9386642,285.1536647,285.1536647,41693680
2020/2/25,287.3847961,288.7235452,283.368549,285.5997974,36195011
2020/2/26,284.2611084,286.0461075,282.4761093,282.9223591,60479362
2020/2/27,282.0298462,285.5998442,281.1373467,284.7073447,61250927
2020/3/2,277.5672913,282.9222872,274.8897933,274.8897933,79912942
2020/3/3,283.3685913,285.5998401,282.0298421,284.2610908,49679411
2020/3/4,286.046051,287.3848001,282.9223032,287.3848001,42941146
2020/3/5,288.2773438,290.9548423,288.2773438,290.0623428,37861525
2020/3/6,281.1373291,286.0460761,281.1373291,285.5998264,51546760
2020/3/9,272.6585999,276.6748476,272.6585999,274.4435989,87871277
2020/3/10,273.997345,275.782344,268.642348,269.0885977,71950130
2020/3/11,269.53479,277.1210341,269.53479,275.7822852,62216710
2020/3/12,262.394928,266.8574268,256.1474297,266.8574268,113527351
2020/3/13,258.8247986,262.3947958,243.2060607,245.437309,149995148
2020/3/16,246.776062,259.7173022,245.8835627,254.3623062,103873228
2020/3/17,239.1898499,246.7760951,236.5123515,236.5123515,121323651
2020/3/18,232.0498657,243.2061093,232.0498657,240.5286108,117437643
2020/3/19,223.4888306,227.9946538,212.2242726,227.0934891,160811697
2020/3/20,243.3144531,243.3144531,230.6981481,232.9510598,157664726
2020/3/23,229.7969666,236.5557009,227.0934728,231.5992957,76466709
2020/3/24,241.0614777,246.9190463,239.7097311,241.5120599,81952933
2020/3/25,249.6225281,252.3260212,246.919035,249.1719459,79447199
2020/3/26,252.3260498,252.3260498,248.2708097,251.8754676,52845633
2020/3/27,246.0178986,257.7330366,246.0178986,255.9307077,68752306
2020/3/30,241.0614777,242.4132243,236.5556556,237.4568201,49159956
2020/3/31,246.9190979,246.9190979,242.8638572,246.0179333,48837923
2020/4/1,244.6661682,249.1719908,244.6661682,249.1719908,44515034
2020/4/6,248.2708282,248.2708282,243.3144233,246.0179169,56392754
2020/4/7,255.0296021,255.9307667,252.7766904,255.4801844,48787346
2020/4/8,256.8318787,257.2824609,255.0295497,256.8318787,37912826
2020/4/9,255.0296021,259.5354254,254.5790197,259.0848431,27620430
2020/4/10,251.8754883,254.1283996,251.424906,252.3260706,27252858
2020/4/13,250.9742889,253.6777822,250.9742889,250.9742889,22196596
2020/4/14,256.8318787,257.2824609,252.3260562,253.2272207,48809688
2020/4/15,259.0848083,259.9859729,257.7330615,258.6342261,55216434
2020/4/16,258.1836548,259.985984,255.0295787,255.0295787,47815280
2020/4/17,276.2069397,278.0092688,270.7999523,273.503446,116368201
2020/4/20,273.95401,278.4598325,272.6022632,277.558668,41381669
2020/4/21,265.8435364,271.7011058,264.4917896,270.7999413,61479357
2020/4/22,264.9423523,265.8435168,261.7882767,265.3929345,42192580
2020/4/23,266.2941284,270.349369,264.9423816,270.349369,39474478
2020/4/24,264.9423523,267.6458457,264.9423523,266.294099,26008090
2020/4/27,268.5470276,268.9976098,266.7446985,268.5470276,38493406
2020/4/28,267.1952515,268.9975803,265.3929226,268.9975803,37395165
2020/4/29,269.4482117,271.7011231,268.5470471,269.4482117,44059301
2020/4/30,274.4045105,274.8550926,271.7010178,272.1515999,55126085
2020/5/4,265.8435364,267.1952832,264.9423718,265.3929541,71581861
2020/5/5,266.2941284,268.5470398,265.8435461,267.195293,23547405
2020/5/6,266.7446899,266.7446899,263.5906142,265.3929432,34240479
2020/5/7,268.096405,269.4481516,265.3929119,265.3929119,27621198
2020/5/8,268.096405,270.349316,266.7446584,270.349316,32295893
2020/5/11,271.2505493,271.7011316,268.9976378,270.3493847,28727019
2020/5/12,265.8435364,268.9976122,265.8435364,268.0964477,52089788
2020/5/13,267.645874,267.645874,263.5906335,264.0412158,26156418
2020/5/14,264.0411987,265.8435277,263.5906165,264.0411987,34315948
2020/5/15,268.5470276,268.9976098,265.3929518,268.0964453,42494804
2020/5/18,261.3377075,264.4917833,261.3377075,262.238872,84986065
2020/5/19,262.6894531,264.9423644,262.6894531,264.9423644,51250214
2020/5/20,264.9423523,264.9423523,262.2388589,264.0411878,32677994
2020/5/21,268.096405,268.5469872,265.8434941,266.7446584,30997468
2020/5/22,263.1400146,265.8435079,262.2388502,265.3929257,40192923
2020/5/25,263.1400146,264.0411791,259.9859391,261.788268,26803223
2020/5/26,266.2941284,268.0964575,264.4917993,265.8435461,33856481
2020/5/27,267.1952515,268.5469981,266.294087,267.6458337,23375959
2020/5/28,264.9423523,268.9975924,264.0411878,268.9975924,28444568
2020/5/29,263.1400146,263.5905969,261.3376858,263.1400146,79774181
2020/6/1,266.2941284,267.195293,264.4917993,264.9423816,35811214
2020/6/2,267.1952515,268.0964159,266.7446693,266.7446693,24771587
