Date,Close,High,Low,Open,Volume
2020/1/2,8.081782341,8.081782341,8.019751387,8.028613193,4341250
2020/1/3,8.028613091,8.090644044,8.028613091,8.081782238,4890608
2020/1/6,7.984304428,8.037473572,7.984304428,8.037473572,7312653
2020/1/7,7.99316597,8.010888736,7.984304164,7.99316597,5551589
2020/1/8,7.97544241,7.993166021,7.957718799,7.993166021,10229631
2020/1/9,7.97544241,8.019750592,7.966580604,7.984304215,8213432
2020/1/10,8.019749641,8.019749641,7.975441464,7.975441464,7776462
2020/1/13,8.002026558,8.010888363,7.975441988,7.984303793,6684463
2020/1/14,8.019749641,8.019749641,7.975441464,8.019749641,6097045
2020/1/15,7.984304428,8.019750806,7.975442622,8.019750806,5194724
2020/1/16,7.97544241,7.993166021,7.966580604,7.984304215,6107569
2020/1/17,7.966580868,8.002027246,7.957719062,8.002027246,6889003
2020/1/20,7.957717896,7.993165113,7.957717896,7.975441505,6381287
2020/1/30,7.169036388,7.266513709,7.169036388,7.177898194,44053792
2020/1/31,7.107006073,7.169037024,7.089282461,7.089282461,20088743
2020/2/3,7.027250767,7.027250767,6.646202004,7.009527578,29818088
2020/2/4,7.133590221,8.046335047,7.133590221,8.037473242,17944221
2020/2/5,7.151312828,7.26651376,7.062696889,7.177898244,16254098
2020/2/6,7.390576839,7.461469594,7.231067719,7.231067719,23949127
2020/2/7,7.372853279,7.399438696,7.239929575,7.381715085,13340794
2020/2/10,7.355130196,7.355130196,7.222205652,7.310822014,9913348
2020/2/11,7.346268177,7.399438162,7.337406372,7.363991787,7137686
2020/2/12,7.426023483,7.44374625,7.319684348,7.337407114,9780785
2020/2/13,7.532362461,7.700732544,7.4526079,7.4526079,20334244
2020/2/14,7.514637947,7.56780793,7.488053378,7.532361556,9484497
2020/2/17,7.46146965,7.470331456,7.363992323,7.443746039,6380229
2020/2/18,7.44374609,7.44374609,7.399438752,7.417161518,5659174
2020/2/19,7.585532665,7.665286384,7.443746305,7.443746305,12373695
2020/2/20,7.620978832,7.700732548,7.594393415,7.620978832,10930936
2020/2/21,7.647562981,7.674147551,7.585532034,7.62097841,10340583
2020/2/24,7.44374609,7.585532446,7.44374609,7.57667064,16064724
2020/2/25,7.44374609,7.488054273,7.355130568,7.38171514,9017148
2020/2/26,7.301959991,7.381714546,7.284237227,7.355129976,13936469
2020/2/27,7.231067657,7.27537584,7.098143955,7.27537584,23622446
2020/3/2,7.14245224,7.310822322,7.089282251,7.107005863,13879765
